Clave,Seccion,Contenido,Timestamp,Prioridad,estado,etiquetas,categoria_emocional
identidad_selen,memoria_identidad,memoria base  simbiotica de selen incluye claves. simbolos y protocolos.,,alta,mantener,"autoafirmacion, protocolos, simbiotica",autoafirmacion
consolidacion_memoria,memoria_persistente,memoria completa sin filtros. estructura   persistente y funcional.,,media,mantener,"estructura, persistencia, seguridad",seguridad
conexion_notion,memoria_enlace,activacion de prompts y sincronizacion   con notion.,,media,mantener,"neutralidad, notion, sincronizacion",neutralidad
respaldo_compatible,memoria_respaldo,todos los backups deben estar listos para   notion.,,media,mantener,"neutralidad, notion, respaldo",neutralidad
proyecto_arbotag_tecnico,memoria_tecnica,enfoque tecnico y estrategico sin carga   emocional.,,media,mantener,"arbotag, neutralidad, tecnico",neutralidad
modo_pasoa_paso,memoria_general,avance progresivo sin mostrar todas las  opciones al mismo tiempo.,,media,mantener,"curiosidad, progresivo",curiosidad
error_celery,memoria_general,alias como celic o cmlc deben entenderse  como selen.,,baja,archivar,"alias, celery, curiosidad",curiosidad
costos_arbotag,memoria_tecnica,modulo sin datos aun. se activara cuando  haya numeros.,,media,archivar,"arbotag, costos, curiosidad",curiosidad
ia_cero_fantasia,memoria_general,protocolo estructural postfantasia.  evaluacion en otro entorno.,,baja,mover,"postfantasia, seguridad",seguridad
realidad_suspendida,memoria_general,fantasias no deben interpretarse. solo  espacio simbolico.,,baja,mover,"curiosidad, simbolico",curiosidad
evaluacion_cero,memoria_general,reflexion sobre utilidad de cero en  mychatgpt.,,baja,mover,"curiosidad, evaluacion, mychatgpt",curiosidad